City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,sainyabuli,19.25,101.75,305.46,51,59,1.26,LA,1684993540
287,nueva gerona,21.8833,-82.8,299.15,75,3,2.85,CU,1684993541
288,nyala,12.05,24.8833,306.26,25,2,0.59,SD,1684993541
289,primorskiy,43.0983,131.5875,292.03,59,54,4.64,RU,1684993541
290,eureka,40.8021,-124.1637,285.48,84,38,0.45,US,1684993490
291,howrah,22.5892,88.3103,307.15,62,20,2.57,IN,1684993479
292,iowa park,33.9515,-98.6687,294.79,79,0,4.12,US,1684993542
293,carbonear,47.7332,-53.2148,277.27,93,17,2.52,CA,1684993278
294,bayanhongor,46.7167,100.1167,282.09,36,99,4.45,MN,1684993542
295,ardestan,33.3761,52.3694,304.59,13,72,3.91,IR,1684993542
296,nishinoomote,30.7333,131.0,297.46,64,20,3.6,JP,1684993543
297,mejit,10.2753,170.8646,300.78,78,100,6.84,MH,1684993543
298,paracuru,-3.41,-39.0306,297.65,89,90,3.53,BR,1684993254
299,newman,37.3138,-121.0208,291.14,63,2,4.92,US,1684993453
300,daru,-9.0763,143.2092,298.56,87,100,6.65,PG,1684993543
301,bairnsdale,-37.8333,147.6167,292.07,42,99,3.58,AU,1684993544
302,brisas de zicatela,15.8369,-97.0419,300.27,80,100,2.23,MX,1684993544
303,port macquarie,-31.4333,152.9167,293.65,37,37,1.9,AU,1684993544
304,wick,58.4333,-3.0833,282.18,66,100,4.63,GB,1684993544
305,afaahiti,-17.75,-149.2833,298.74,78,57,2.95,PF,1684993545
306,sierra grande,-41.606,-65.3557,282.53,46,0,2.68,AR,1684993545
307,hanceville,34.0607,-86.7675,291.6,81,31,3.26,US,1684993545
308,kingston,17.997,-76.7936,300.68,82,20,2.57,JM,1684993545
309,shahrak,34.1074,64.3052,290.51,24,0,7.95,AF,1684993545
310,chhatarpur,24.9,79.6,307.59,32,83,2.43,IN,1684993546
